site_name,site_url,latitude,longitude,elevation_m,active,date_first,date_last
boglakepeatland,https://phenocam.nau.edu/webcam/sites/boglakepeatland/,47.5051,-93.4893,416,True,2021-03-18,2026-03-23
borgocioffinorth,https://phenocam.nau.edu/webcam/sites/borgocioffinorth/,40.5237,14.9574,10,True,2017-02-16,2026-03-23
borgocioffisouth,https://phenocam.nau.edu/webcam/sites/borgocioffisouth/,40.5237,14.9574,10,True,2017-03-13,2026-03-23
bostoncommon,https://phenocam.nau.edu/webcam/sites/bostoncommon/,42.35591,-71.06414,10,True,2010-05-06,2026-03-23
bostonu,https://phenocam.nau.edu/webcam/sites/bostonu/,42.35041,-71.10438,10,True,2012-09-14,2026-03-23
bouldinalfalfa,https://phenocam.nau.edu/webcam/sites/bouldinalfalfa/,38.0985,-121.4993,-5,True,2016-11-03,2026-02-12
bouldincorn,https://phenocam.nau.edu/webcam/sites/bouldincorn/,38.109,-121.535,-5,True,2017-07-12,2026-02-12
boundarywaters,https://phenocam.nau.edu/webcam/sites/boundarywaters/,47.9467,-91.49551,519,False,2005-12-16,2021-06-24
bozeman,https://phenocam.nau.edu/webcam/sites/bozeman/,45.78306,-110.77778,2332,False,2015-08-16,2019-12-18
brackishimpoundment,https://phenocam.nau.edu/webcam/sites/brackishimpoundment/,33.2015,-79.2973,1,True,2020-03-20,2026-03-23
bradleymeadow,https://phenocam.nau.edu/webcam/sites/bradleymeadow/,38.9882,-107.0049,2975,True,2021-09-22,2025-10-22
brazosfarmwest,https://phenocam.nau.edu/webcam/sites/brazosfarmwest/,30.5309,-96.4311,64,True,2022-08-03,2024-07-11
breedface2022control1,https://phenocam.nau.edu/webcam/sites/breedface2022control1/,50.6247,6.983,223,False,2022-01-19,2022-07-08
breedface2022control2,https://phenocam.nau.edu/webcam/sites/breedface2022control2/,50.62465,6.985,223,False,2022-02-04,2022-07-18
breedface2022ring1,https://phenocam.nau.edu/webcam/sites/breedface2022ring1/,50.6247,6.9839,223,False,2022-01-19,2022-07-08
breedface2022ring2,https://phenocam.nau.edu/webcam/sites/breedface2022ring2/,50.6246,6.9858,223,False,2022-02-04,2022-07-18
breedface2023control1,https://phenocam.nau.edu/webcam/sites/breedface2023control1/,50.6254,6.9848,223,False,2023-01-11,2023-07-12
breedface2023control2,https://phenocam.nau.edu/webcam/sites/breedface2023control2/,50.6254,6.9847,223,False,2022-12-14,2023-07-12
breedface2023ring1,https://phenocam.nau.edu/webcam/sites/breedface2023ring1/,50.6254,6.9856,223,False,2023-01-11,2023-07-12
breedface2023ring2,https://phenocam.nau.edu/webcam/sites/breedface2023ring2/,50.6253,6.9856,223,False,2022-12-13,2023-10-16
breedface2024control1,https://phenocam.nau.edu/webcam/sites/breedface2024control1/,50.6249,6.9871,223,False,2024-05-23,2024-10-07
breedface2024control2,https://phenocam.nau.edu/webcam/sites/breedface2024control2/,50.625,6.9844,223,False,2024-05-23,2024-09-16
breedface2024ring1,https://phenocam.nau.edu/webcam/sites/breedface2024ring1/,50.6249,6.986,223,False,2024-05-23,2024-10-07
breedface2024ring2,https://phenocam.nau.edu/webcam/sites/breedface2024ring2/,50.625,6.9852,223,False,2024-05-23,2024-09-16
breedface2025control1,https://phenocam.nau.edu/webcam/sites/breedface2025control1/,50.6244,6.9872,223,False,2025-05-27,2025-09-29
breedface2025control2,https://phenocam.nau.edu/webcam/sites/breedface2025control2/,50.6245,6.9854,223,False,2025-05-22,2025-09-29
breedface2025ring1,https://phenocam.nau.edu/webcam/sites/breedface2025ring1/,50.6245,6.9866,223,False,2025-05-27,2025-07-11
breedface2025ring2,https://phenocam.nau.edu/webcam/sites/breedface2025ring2/,50.6245,6.986,223,False,2025-05-22,2025-09-29
breedfacectr1,https://phenocam.nau.edu/webcam/sites/breedfacectr1/,50.6253,6.9837,173,False,2020-12-11,2021-10-08
breedfacectr2,https://phenocam.nau.edu/webcam/sites/breedfacectr2/,50.6253,6.9837,173,False,2021-08-04,2022-01-17
breedfacering1,https://phenocam.nau.edu/webcam/sites/breedfacering1/,50.6252,6.9874,173,False,2020-10-28,2022-01-17
breedfacering2,https://phenocam.nau.edu/webcam/sites/breedfacering2/,50.6252,6.9874,173,False,2021-08-04,2022-01-17
bridger,https://phenocam.nau.edu/webcam/sites/bridger/,43.004,-109.756,2849,False,2006-10-11,2020-11-16
bristoluni,https://phenocam.nau.edu/webcam/sites/bristoluni/,51.4566,-2.6023,66,True,2024-07-24,2026-03-23
bullshoals,https://phenocam.nau.edu/webcam/sites/bullshoals/,36.56283,-93.06663,260,True,2013-11-20,2026-03-23
burdetterice1,https://phenocam.nau.edu/webcam/sites/burdetterice1/,35.8284,-89.9879,70,False,2019-07-23,2021-07-25
burdetterice2,https://phenocam.nau.edu/webcam/sites/burdetterice2/,35.8284,-89.9836,70,False,2019-07-23,2021-07-28
burdetterice3,https://phenocam.nau.edu/webcam/sites/burdetterice3/,35.8209,-89.9837,70,False,2019-07-23,2021-07-28
burdettericea,https://phenocam.nau.edu/webcam/sites/burdettericea/,35.8089,-90.03271,73,False,2015-06-18,2018-05-18
burdettericec,https://phenocam.nau.edu/webcam/sites/burdettericec/,35.8089,-90.02838,70,False,2015-07-02,2018-05-18
burnssagebrush,https://phenocam.nau.edu/webcam/sites/burnssagebrush/,43.4712,-119.6909,1398,False,2012-10-12,2022-09-09
butte,https://phenocam.nau.edu/webcam/sites/butte/,45.95304,-112.47964,1682,True,2008-04-01,2026-03-23
butterice,https://phenocam.nau.edu/webcam/sites/butterice/,39.5793,-121.858,33,False,2021-01-24,2024-05-31
caes,https://phenocam.nau.edu/webcam/sites/caes/,23.4848,120.4738,74,True,2023-09-28,2026-03-23
cafboydnorthltar01,https://phenocam.nau.edu/webcam/sites/cafboydnorthltar01/,46.7551,-117.12605,795,False,2017-09-14,2024-10-08
cafboydsouthltar01,https://phenocam.nau.edu/webcam/sites/cafboydsouthltar01/,46.75181,-117.1285,795,False,2017-10-21,2024-10-08
cafcookeastltar01,https://phenocam.nau.edu/webcam/sites/cafcookeastltar01/,46.78152,-117.0821,794,True,2017-05-09,2026-03-23
cafcookwestltar01,https://phenocam.nau.edu/webcam/sites/cafcookwestltar01/,46.78404,-117.09083,807,True,2017-06-26,2026-03-23
canadaOA,https://phenocam.nau.edu/webcam/sites/canadaOA/,53.62889,-106.19779,601,False,2011-06-16,2016-09-08
canadaoa2,https://phenocam.nau.edu/webcam/sites/canadaoa2/,53.62889,-106.19779,601,False,2016-06-16,2018-07-21
canadaOBS,https://phenocam.nau.edu/webcam/sites/canadaOBS/,53.98717,-105.11779,628,True,2011-07-05,2026-03-23
canadaojp,https://phenocam.nau.edu/webcam/sites/canadaojp/,53.9163,-104.692,595,False,2014-12-17,2024-04-30
caryinstitute,https://phenocam.nau.edu/webcam/sites/caryinstitute/,41.7839,-73.7341,127,False,2001-05-08,2024-07-31
caryinstitute2,https://phenocam.nau.edu/webcam/sites/caryinstitute2/,41.7839,-73.7341,127,True,2024-10-06,2026-03-23
cedarcreek,https://phenocam.nau.edu/webcam/sites/cedarcreek/,45.4019,-93.2042,276,False,2009-12-01,2010-08-10
cedarcreek2,https://phenocam.nau.edu/webcam/sites/cedarcreek2/,45.4019,-93.2042,276,False,2016-05-09,2016-09-06
cedarmesa,https://phenocam.nau.edu/webcam/sites/cedarmesa/,37.5241,-109.7471,1860,True,2023-05-23,2026-03-23
centralredwoods1,https://phenocam.nau.edu/webcam/sites/centralredwoods1/,38.63227,-123.30151,200,True,2020-06-28,2026-03-23
centralredwoods2,https://phenocam.nau.edu/webcam/sites/centralredwoods2/,38.63227,-123.30151,200,True,2021-10-09,2026-03-23
chibougamau,https://phenocam.nau.edu/webcam/sites/chibougamau/,49.6924,-74.342,380,False,2008-03-19,2011-11-22
clareviewconvpasture,https://phenocam.nau.edu/webcam/sites/clareviewconvpasture/,-43.7864,171.5953,200,True,2022-10-02,2026-03-23
clareviewregenpasture,https://phenocam.nau.edu/webcam/sites/clareviewregenpasture/,-43.7864,171.5953,200,True,2022-11-28,2026-03-23
cmarshhighsaltmarsh,https://phenocam.nau.edu/webcam/sites/cmarshhighsaltmarsh/,42.7423,-70.8301,2,True,2025-04-30,2026-01-26
cmarshlowsaltmarsh,https://phenocam.nau.edu/webcam/sites/cmarshlowsaltmarsh/,42.7345,-70.8382,1,True,2025-08-14,2025-11-04
cmarshtypha,https://phenocam.nau.edu/webcam/sites/cmarshtypha/,42.7496,-70.9157,2,True,2025-04-29,2026-03-23
coaloilpoint,https://phenocam.nau.edu/webcam/sites/coaloilpoint/,34.41369,-119.88023,6,False,2008-05-11,2012-12-05
coaloilpoint1,https://phenocam.nau.edu/webcam/sites/coaloilpoint1/,34.41369,-119.88023,6,True,2022-10-18,2026-03-23
colchester1apn,https://phenocam.nau.edu/webcam/sites/colchester1apn/,45.5061,-63.9062,270,True,2024-12-09,2026-01-22
columbiamissouri,https://phenocam.nau.edu/webcam/sites/columbiamissouri/,38.7441,-92.1997,232,False,2006-11-18,2009-01-23
congoflux,https://phenocam.nau.edu/webcam/sites/congoflux/,0.8144,24.5024,357,True,2022-05-10,2026-02-19
contactcreek,https://phenocam.nau.edu/webcam/sites/contactcreek/,58.2076,-155.9225,200,False,2010-09-14,2021-07-23
corona1,https://phenocam.nau.edu/webcam/sites/corona1/,34.278,-105.2729,1800,True,2025-10-04,2025-11-20
cottonwood,https://phenocam.nau.edu/webcam/sites/cottonwood/,43.94995,-101.84661,744,False,2008-11-07,2009-05-17
coville,https://phenocam.nau.edu/webcam/sites/coville/,58.8025,-155.5629,478,False,2010-09-16,2020-07-23
coweeta,https://phenocam.nau.edu/webcam/sites/coweeta/,35.0592,-83.4275,680,True,2011-04-08,2026-03-23
cperagm,https://phenocam.nau.edu/webcam/sites/cperagm/,40.8402,-104.7672,1644,True,2016-05-19,2026-03-23
cperheavy,https://phenocam.nau.edu/webcam/sites/cperheavy/,40.8153,-104.7386,1652,False,2018-05-24,2022-03-15
cpertgm,https://phenocam.nau.edu/webcam/sites/cpertgm/,40.833,-104.76,1644,True,2016-05-05,2026-03-23
cperuvb,https://phenocam.nau.edu/webcam/sites/cperuvb/,40.80558,-104.75585,1641,True,2015-07-15,2026-03-23
craterlake1b,https://phenocam.nau.edu/webcam/sites/craterlake1b/,-62.985,-60.6814,97,False,2018-01-20,2023-03-06
craterlake2,https://phenocam.nau.edu/webcam/sites/craterlake2/,-62.9871,-60.6768,96,False,2016-12-30,2022-01-08
cs1afforestation,https://phenocam.nau.edu/webcam/sites/cs1afforestation/,33.5,-79.9454,18,True,2025-01-14,2026-03-23
cs2afforestation,https://phenocam.nau.edu/webcam/sites/cs2afforestation/,34.0367,-80.5528,50,True,2024-07-02,2026-03-23
csutest,https://phenocam.nau.edu/webcam/sites/csutest/,40.5748,-105.081,1575,False,2014-09-04,2015-06-29
cucamongasouth,https://phenocam.nau.edu/webcam/sites/cucamongasouth/,33.622,-116.867,1086,False,2003-09-29,2019-01-25
cuny,https://phenocam.nau.edu/webcam/sites/cuny/,40.8162,-73.9507,42,True,2021-11-09,2026-03-23
czdrylandpecan,https://phenocam.nau.edu/webcam/sites/czdrylandpecan/,31.4123,-106.0787,1092,True,2022-09-06,2026-03-23
czdryredlake,https://phenocam.nau.edu/webcam/sites/czdryredlake/,32.7122,-106.8303,1311,True,2022-08-04,2026-03-23
dangermondbunkerhill,https://phenocam.nau.edu/webcam/sites/dangermondbunkerhill/,34.4909,-120.4635,5,True,2022-02-03,2026-03-23
dangermondjalama,https://phenocam.nau.edu/webcam/sites/dangermondjalama/,34.5163,-120.458,142,True,2022-02-02,2026-03-23
delnortecounty1,https://phenocam.nau.edu/webcam/sites/delnortecounty1/,41.6,-124.1,28,True,2020-03-12,2026-03-23
delnortecounty2,https://phenocam.nau.edu/webcam/sites/delnortecounty2/,41.6,-124.1,28,True,2020-03-12,2026-03-23
derur,https://phenocam.nau.edu/webcam/sites/derur/,50.6219,6.3041,514,True,2024-02-20,2026-03-23
distilleryfields,https://phenocam.nau.edu/webcam/sites/distilleryfields/,51.8996,-8.4881,12,True,2020-03-05,2026-03-23
dollysods,https://phenocam.nau.edu/webcam/sites/dollysods/,39.09953,-79.42704,1133,False,2003-11-21,2021-06-25
donanafuenteduque,https://phenocam.nau.edu/webcam/sites/donanafuenteduque/,36.99855,-6.43459,1,True,2017-11-11,2026-03-23
donanapajarera,https://phenocam.nau.edu/webcam/sites/donanapajarera/,36.9962,-6.4432,2,True,2017-11-11,2026-03-15
donanaresoliman,https://phenocam.nau.edu/webcam/sites/donanaresoliman/,37.0733,-6.4334,1,True,2017-11-12,2026-03-23
doverdesaltmarsh,https://phenocam.nau.edu/webcam/sites/doverdesaltmarsh/,39.0888,-75.4368,0,True,2020-06-09,2026-03-23
downerwoods,https://phenocam.nau.edu/webcam/sites/downerwoods/,43.07938,-87.88076,213,True,2013-03-25,2026-03-23
drippingsprings,https://phenocam.nau.edu/webcam/sites/drippingsprings/,33.3,-116.8,400,False,2001-04-06,2009-05-26
dukehw,https://phenocam.nau.edu/webcam/sites/dukehw/,35.97358,-79.10037,400,True,2013-05-31,2026-03-23
eastend,https://phenocam.nau.edu/webcam/sites/eastend/,38.10273,-121.64132,-5,True,2013-11-25,2026-03-11
eastend2,https://phenocam.nau.edu/webcam/sites/eastend2/,38.10273,-121.64132,-5,False,2016-09-29,2018-08-29
eastpond,https://phenocam.nau.edu/webcam/sites/eastpond/,38.1071,-121.6425,-3,False,2018-09-05,2020-01-30
ecb1,https://phenocam.nau.edu/webcam/sites/ecb1/,41.5348,-84.8068,275,True,2020-08-12,2026-03-23
ecb2,https://phenocam.nau.edu/webcam/sites/ecb2/,41.5321,-84.808,275,True,2020-06-07,2026-03-23
ecb4,https://phenocam.nau.edu/webcam/sites/ecb4/,41.1796,-83.0604,240,True,2021-08-12,2026-03-23
egypt15n,https://phenocam.nau.edu/webcam/sites/egypt15n/,35.9367,-90.9136,78,True,2024-06-22,2026-03-23
egypt17n,https://phenocam.nau.edu/webcam/sites/egypt17n/,35.9328,-90.9049,77,True,2024-06-17,2026-03-22
egypt17s,https://phenocam.nau.edu/webcam/sites/egypt17s/,35.9291,-90.905,77,False,2024-06-11,2025-03-12
elora1,https://phenocam.nau.edu/webcam/sites/elora1/,43.6408,-80.4141,5,True,2020-07-06,2026-03-23
elora3,https://phenocam.nau.edu/webcam/sites/elora3/,43.6405,-80.4123,376,True,2020-08-06,2026-03-23
elverde,https://phenocam.nau.edu/webcam/sites/elverde/,18.32065,-65.8199,312,False,2014-11-12,2023-12-11
ericamera,https://phenocam.nau.edu/webcam/sites/ericamera/,51.8951,-8.516,18,True,2021-05-07,2026-03-23
esalb,https://phenocam.nau.edu/webcam/sites/esalb/,38.70184,-6.78588,279,True,2015-11-05,2026-03-17
eshester,https://phenocam.nau.edu/webcam/sites/eshester/,36.8098,-121.7523,4,True,2022-10-20,2026-02-28
eslm1,https://phenocam.nau.edu/webcam/sites/eslm1/,39.94269,-5.77868,265,True,2014-06-21,2026-03-17
eslm2,https://phenocam.nau.edu/webcam/sites/eslm2/,39.93459,-5.77588,269,True,2014-06-23,2026-03-17
eslma,https://phenocam.nau.edu/webcam/sites/eslma/,39.9403,-5.7746,265,True,2015-01-31,2026-03-17
esnorth,https://phenocam.nau.edu/webcam/sites/esnorth/,36.8355,-121.7329,0,True,2025-05-01,2026-02-21
esporter,https://phenocam.nau.edu/webcam/sites/esporter/,36.8558,-121.7487,4,True,2022-06-17,2026-02-21
esyampah,https://phenocam.nau.edu/webcam/sites/esyampah/,36.8106,-121.749,4,False,2022-10-20,2024-01-01
ettenheim1,https://phenocam.nau.edu/webcam/sites/ettenheim1/,48.2685,7.8782,482,True,2024-04-23,2026-03-23
ettenheim2,https://phenocam.nau.edu/webcam/sites/ettenheim2/,48.2685,7.8782,482,True,2024-04-23,2026-03-23
