year,month,Santa_Rita_Experimental_Range_NEON_archive,Santa_Rita_Experimental_Range_NEON_new,Santa_Rita_Experimental_Range_NEON_total,Walnut_Gulch_Kendall_Grasslands_archive,Walnut_Gulch_Kendall_Grasslands_new,Walnut_Gulch_Kendall_Grasslands_total,Onaqui_NEON_archive,Onaqui_NEON_new,Onaqui_NEON_total,Reynolds_Creek_Wyoming_big_sagebrush_archive,Reynolds_Creek_Wyoming_big_sagebrush_new,Reynolds_Creek_Wyoming_big_sagebrush_total,Moab_NEON_archive,Moab_NEON_new,Moab_NEON_total,Willard_Juniper_Savannah_archive,Willard_Juniper_Savannah_new,Willard_Juniper_Savannah_total,San_Joaquin_Experimental_Range_NEON_archive,San_Joaquin_Experimental_Range_NEON_new,San_Joaquin_Experimental_Range_NEON_total,Tonzi_Ranch_archive,Tonzi_Ranch_new,Tonzi_Ranch_total
2018,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,261,0,0,0,0,0,0
2018,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,276,0,0,0,0,0,0
2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,192,0,0,0,0,0,0
2019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,300,0,0,0,0,0,0
2019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,294,0,0,0,0,0,0
2019,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,321,0,0,0,0,0,0
2019,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,339,0,0,0,0,0,0
2019,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,315,0,0,0,0,0,0
2019,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,258,0,0,0,0,0,0
2019,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,330,0,0,0,0,0,0
2019,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,252,0,0,0,0,0,0
2019,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,258,0,0,0,0,0,0
2019,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,207,0,0,0,0,0,0
2019,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,261,0,0,0,0,0,0
2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,240,0,0,0,0,0,0
2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,180,0,0,0,0,0,0
2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,252,0,0,0,0,0,0
2020,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,348,0,0,0,0,0,0
2020,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,369,0,0,0,0,0,0
2020,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,420,0,0,0,0,0,0
2020,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,264,0,0,0,0,0,0
2020,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,306,0,0,0,0,0,0
2020,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,276,0,0,0,0,0,0
2020,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,351,0,0,0,0,0,0
2020,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,384,0,0,0,0,0,0
2020,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,286,0,0,0,0,0,0
2021,1,225,0,225,0,0,0,222,0,222,204,0,204,210,0,210,252,0,252,210,0,210,213,0,213
2021,2,309,0,309,0,0,0,126,0,126,108,0,108,243,0,243,240,0,240,168,0,168,144,0,144
2021,3,387,0,387,0,0,0,267,0,267,237,0,237,267,0,267,345,0,345,279,0,279,291,0,291
2021,4,342,0,342,0,0,0,273,0,273,366,0,366,348,0,348,294,0,294,336,0,336,414,0,414
2021,5,417,0,417,0,0,0,447,0,447,278,0,278,432,0,432,354,0,354,390,0,390,507,0,507
2021,6,345,0,345,0,0,0,492,0,492,468,0,468,402,0,402,363,0,363,474,0,474,483,0,483
2021,7,273,0,273,0,0,0,309,0,309,300,0,300,339,0,339,342,0,342,312,0,312,354,0,354
2021,8,333,0,333,0,0,0,381,0,381,363,0,363,417,0,417,273,0,273,360,0,360,387,0,387
2021,9,354,0,354,0,0,0,429,0,429,306,0,306,363,0,363,366,0,366,383,0,383,330,0,330
2021,10,285,0,285,0,0,0,195,0,195,177,0,177,225,0,225,390,0,390,192,0,192,201,0,201
2021,11,231,0,231,0,0,0,264,0,264,201,0,201,240,0,240,273,0,273,162,0,162,171,0,171
2021,12,195,0,195,0,0,0,159,0,159,87,0,87,159,0,159,162,0,162,87,0,87,63,0,63
2022,1,189,168,357,0,210,210,210,0,210,144,0,144,165,0,165,315,248,563,177,0,177,207,0,207
2022,2,0,220,220,0,238,238,0,0,0,0,0,0,0,0,0,0,168,168,0,0,0,0,0,0
2022,3,0,198,198,0,212,212,0,0,0,0,0,0,0,0,0,0,176,176,0,0,0,0,0,0
2022,4,0,178,178,0,158,158,0,0,0,0,0,0,0,0,0,0,164,164,0,0,0,0,0,0
2022,5,0,168,168,0,136,136,0,0,0,0,0,0,0,0,0,0,178,178,0,0,0,0,0,0
2022,6,0,122,122,0,108,108,0,0,0,0,0,0,0,0,0,0,110,110,0,0,0,0,0,0
2022,7,0,102,102,0,108,108,0,0,0,0,0,0,0,0,0,0,148,148,0,0,0,0,0,0
2022,8,0,108,108,0,98,98,0,0,0,0,0,0,0,0,0,0,68,68,0,0,0,0,0,0
2022,9,0,124,124,0,116,116,0,0,0,0,0,0,0,0,0,0,144,144,0,0,0,0,0,0
2022,10,0,100,100,0,138,138,0,0,0,0,0,0,0,0,0,0,104,104,0,0,0,0,0,0
2022,11,0,142,142,0,142,142,0,0,0,0,0,0,0,0,0,0,112,112,0,0,0,0,0,0
2022,12,0,120,120,0,144,144,0,0,0,0,0,0,0,0,0,0,128,128,0,0,0,0,0,0
2023,1,0,114,114,0,122,122,0,0,0,0,0,0,0,0,0,0,136,136,0,0,0,0,0,0
2023,2,0,114,114,0,120,120,0,0,0,0,0,0,0,0,0,0,138,138,0,0,0,0,0,0
2023,3,0,136,136,0,128,128,0,0,0,0,0,0,0,0,0,0,136,136,0,0,0,0,0,0
2023,4,0,194,194,0,182,182,0,0,0,0,0,0,0,0,0,0,194,194,0,0,0,0,0,0
2023,5,0,144,144,0,148,148,0,0,0,0,0,0,0,0,0,0,160,160,0,0,0,0,0,0
2023,6,0,130,130,0,126,126,0,0,0,0,0,0,0,0,0,0,126,126,0,0,0,0,0,0
2023,7,0,94,94,0,132,132,0,0,0,0,0,0,0,0,0,0,128,128,0,0,0,0,0,0
2023,8,0,70,70,0,94,94,0,0,0,0,0,0,0,0,0,0,106,106,0,0,0,0,0,0
2023,9,0,150,150,0,134,134,0,0,0,0,0,0,0,0,0,0,108,108,0,0,0,0,0,0
2023,10,0,126,126,0,120,120,0,0,0,0,0,0,0,0,0,0,106,106,0,0,0,0,0,0
2023,11,0,134,134,0,142,142,0,0,0,0,0,0,0,0,0,0,122,122,0,0,0,0,0,0
2023,12,0,194,194,0,154,154,0,0,0,0,0,0,0,0,0,0,154,154,0,0,0,0,0,0
2024,1,0,114,114,0,138,138,0,0,0,0,0,0,0,0,0,0,134,134,0,0,0,0,0,0
2024,2,0,104,104,0,104,104,0,0,0,0,0,0,0,0,0,0,106,106,0,0,0,0,0,0
2024,3,0,128,128,0,154,154,0,0,0,0,0,0,0,0,0,0,162,162,0,0,0,0,0,0
2024,4,0,160,160,0,136,136,0,0,0,0,0,0,0,0,0,0,132,132,0,0,0,0,0,0
2024,5,0,164,164,0,166,166,0,0,0,0,0,0,0,0,0,0,196,196,0,0,0,0,0,0
2024,6,0,156,156,0,136,136,0,0,0,0,0,0,0,0,0,0,106,106,0,0,0,0,0,0
2024,7,0,138,138,0,148,148,0,0,0,0,0,0,0,0,0,0,148,148,0,0,0,0,0,0
2024,8,0,150,150,0,132,132,0,0,0,0,0,0,0,0,0,0,142,142,0,0,0,0,0,0
2024,9,0,142,142,0,136,136,0,0,0,0,0,0,0,0,0,0,130,130,0,0,0,0,0,0
2024,10,0,154,154,0,150,150,0,0,0,0,0,0,0,0,0,0,146,146,0,0,0,0,0,0
2024,11,0,126,126,0,126,126,0,0,0,0,0,0,0,0,0,0,76,76,0,0,0,0,0,0
2024,12,0,116,116,0,166,166,0,0,0,0,0,0,0,0,0,0,134,134,0,0,0,0,0,0
2025,1,0,150,150,0,156,156,0,0,0,0,0,0,0,0,0,0,120,120,0,0,0,0,0,0
2025,2,0,164,164,0,156,156,0,0,0,0,0,0,0,0,0,0,144,144,0,0,0,0,0,0
2025,3,0,152,152,0,158,158,0,0,0,0,0,0,0,0,0,0,152,152,0,0,0,0,0,0
2025,4,0,148,148,0,170,170,0,0,0,0,0,0,0,0,0,0,148,148,0,0,0,0,0,0
2025,5,0,148,148,0,110,110,0,0,0,0,0,0,0,0,0,0,104,104,0,0,0,0,0,0
2025,6,0,138,138,0,162,162,0,0,0,0,0,0,0,0,0,0,134,134,0,0,0,0,0,0
2025,7,0,176,176,0,124,124,0,0,0,0,0,0,0,0,0,0,122,122,0,0,0,0,0,0
2025,8,0,120,120,0,148,148,0,0,0,0,0,0,0,0,0,0,116,116,0,0,0,0,0,0
2025,9,0,120,120,0,90,90,0,0,0,0,0,0,0,0,0,0,110,110,0,0,0,0,0,0
2025,10,0,100,100,0,132,132,0,0,0,0,0,0,0,0,0,0,130,130,0,0,0,0,0,0
2025,11,0,114,114,0,110,110,0,0,0,0,0,0,0,0,0,0,140,140,0,0,0,0,0,0
2025,12,0,140,140,0,168,168,0,0,0,0,0,0,0,0,0,0,186,186,0,0,0,0,0,0
2026,1,0,144,144,0,146,146,0,0,0,0,0,0,0,0,0,0,216,216,0,0,0,0,0,0
2026,2,0,108,108,0,134,134,0,0,0,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0
2026,3,0,170,170,0,146,146,0,0,0,0,0,0,0,0,0,0,202,202,0,0,0,0,0,0
2026,4,0,108,108,0,86,86,0,0,0,0,0,0,0,0,0,0,154,154,0,0,0,0,0,0
2026,5,0,126,126,0,104,104,0,0,0,0,0,0,0,0,0,0,130,130,0,0,0,0,0,0
2026,6,0,132,132,0,44,44,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0
